rep,host,t,Ec
2,19,4000.0,0.23349965389651
2,19,5000.0,0.046980583107121
2,19,6000.0,0.073552138071028
2,19,7000.0,0.13071678426237
2,19,8000.0,0.043699341523712
2,19,9000.0,0.12965596603392
2,19,10000.0,0.066046563283633
2,19,11000.0,0.038692293832535
2,19,12000.0,0.13914316254942
2,19,13000.0,0.16390929866533
2,19,14000.0,0.13020908383579
2,19,15000.0,0.14995642361391
2,19,16000.0,0.086356858248879
2,19,17000.0,0.014973589884247
2,19,18000.0,0.030634431989811
2,19,19000.0,0.082786557610559
2,19,20000.0,0.072376789094234
2,19,21000.0,0.063971089888745
2,19,22000.0,0.096607058265807
2,19,23000.0,0.0062664342912542
2,19,24000.0,0.0048093973905896
2,19,25000.0,0.0
2,19,26000.0,0.38948543727203
2,19,27000.0,0.32666172542843
2,19,28000.0,0.16305075023978
2,19,29000.0,0.24993695123499
2,19,30000.0,0.31292618856142
2,19,31000.0,0.27888596045607
2,19,32000.0,0.25585852226056
2,19,33000.0,0.27277556413882
2,19,34000.0,0.25519488154469
2,19,35000.0,0.23789799518393
2,19,36000.0,0.2052814885677
2,19,37000.0,0.19836620659076
2,19,38000.0,0.14049497902419
2,19,39000.0,0.27625653809964
2,19,40000.0,0.22843305494562
2,19,41000.0,0.24588275619726
2,19,42000.0,0.10292558901559
2,19,43000.0,0.17087173916345
2,19,44000.0,0.21167725997494
2,19,45000.0,0.17646884622419
2,19,46000.0,0.15173041263697
2,19,47000.0,0.11863674929154
2,19,48000.0,0.21333890862288
2,19,49000.0,0.11414817702008
2,19,50000.0,0.16646673410365
2,20,1000.0,1.0
2,20,2000.0,0.0
2,20,3000.0,0.0056390735161828
2,20,4000.0,0.3089003441478
2,20,5000.0,0.21410100783858
2,20,6000.0,0.18808667117804
2,20,7000.0,0.0
2,20,8000.0,0.0
2,20,9000.0,0.58817303065301
2,20,10000.0,0.57917234042672
2,20,11000.0,0.61143189040162
2,20,12000.0,0.63902554561965
2,20,13000.0,0.66381203681715
2,20,14000.0,0.66751590187716
2,20,15000.0,0.5818726229038
2,20,16000.0,0.60213481076974
2,20,17000.0,0.63031654850427
2,20,18000.0,0.64896660018636
2,20,19000.0,0.64652738008973
2,20,20000.0,0.67404893057249
2,20,21000.0,0.61930951887514
2,20,22000.0,0.63758862544532
2,20,23000.0,0.6530474240561
2,20,24000.0,0.66345078972785
2,20,25000.0,0.47974667580836
2,20,26000.0,0.62344383548717
2,20,27000.0,0.63131546170376
2,20,28000.0,0.5294802826354
2,20,29000.0,0.59714409321895
2,20,30000.0,0.63412534947994
2,20,31000.0,0.57772288795377
2,20,32000.0,0.58243949268119
2,20,33000.0,0.63976325329458
2,20,34000.0,0.57788174246983
2,20,35000.0,0.5565063342411
2,20,36000.0,0.58131636564601
2,20,37000.0,0.58397561914843
2,20,38000.0,0.55704211281239
2,20,39000.0,0.6115391064235
2,20,40000.0,0.60230394935298
2,20,41000.0,0.59911082784379
2,20,42000.0,0.54270112313851
2,20,43000.0,0.59174636944989
2,20,44000.0,0.59389157979856
2,20,45000.0,0.57936448375511
2,20,46000.0,0.5645461998633
2,20,47000.0,0.52280752113571
2,20,48000.0,0.57947945159526
2,20,49000.0,0.54843303048483
2,20,50000.0,0.57569003083706
2,21,1000.0,1.0
2,21,2000.0,0.0
2,21,3000.0,0.0
2,21,4000.0,0.18553262532245
2,21,5000.0,0.25016901389936
2,21,6000.0,0.24244360327445
2,21,7000.0,0.0981204285395
2,21,8000.0,0.0091087664580509
2,21,9000.0,0.251047150995
2,21,10000.0,0.11739990344669
2,21,11000.0,0.28232007278781
2,21,12000.0,0.22161405090983
2,21,13000.0,0.19984849539113
2,21,14000.0,0.29547315414367
2,21,15000.0,0.33227637590931
2,21,16000.0,0.15290859961257
2,21,17000.0,0.21879449188283
2,21,18000.0,0.28197090995591
2,21,19000.0,0.17661658488754
2,21,20000.0,0.3528354294755
2,21,21000.0,0.23853111717554
2,21,22000.0,0.19593236880404
2,21,23000.0,0.31356293956351
2,21,24000.0,0.29228131449127
2,21,25000.0,0.063035446411572
2,21,26000.0,0.27438530389288
2,21,27000.0,0.24448373509094
2,21,28000.0,0.18217058053862
2,21,29000.0,0.1634598161818
2,21,30000.0,0.1131896731594
2,21,31000.0,0.12098553026178
2,21,32000.0,0.1821655347611
2,21,33000.0,0.19164231917942
2,21,34000.0,0.15498988664245
2,21,35000.0,0.12770312979709
2,21,36000.0,0.068025258767845
2,21,37000.0,0.12466182229308
2,21,38000.0,0.058306113470371
2,21,39000.0,0.14442238079879
2,21,40000.0,0.13760619601739
2,21,41000.0,0.17701648097834
2,21,42000.0,0.072287529334045
2,21,43000.0,0.12447121822725
2,21,44000.0,0.066953011295807
2,21,45000.0,0.093221963640371
2,21,46000.0,0.11325229397451
2,21,47000.0,0.079695344778872
2,21,48000.0,0.18027042982078
2,21,49000.0,0.01270430617942
2,21,50000.0,0.095763284669855
2,22,1000.0,1.0
2,22,2000.0,0.0
2,22,3000.0,0.0
2,22,4000.0,0.35540680424173
2,22,5000.0,0.32794021717658
2,22,6000.0,0.47599465247766
2,22,7000.0,0.44397468669636
2,22,8000.0,0.34464124248906
2,22,9000.0,0.50217268352755
2,22,10000.0,0.51127666441194
2,22,11000.0,0.48194406434502
2,22,12000.0,0.47682091666165
2,22,13000.0,0.50548699133334
2,22,14000.0,0.48360198932091
2,22,15000.0,0.44548768918055
2,22,16000.0,0.44551386472195
2,22,17000.0,0.43538304027697
2,22,18000.0,0.40484609064546
2,22,19000.0,0.38051390531457
2,22,20000.0,0.46879650943781
2,22,21000.0,0.3709483278369
2,22,22000.0,0.37580176561594
2,22,23000.0,0.48420846307014
2,22,24000.0,0.43639477255965
2,22,25000.0,0.18263637250022
2,22,26000.0,0.45499324867564
2,22,27000.0,0.37984799334764
2,22,28000.0,0.30890528594947
2,22,29000.0,0.37803352095078
2,22,30000.0,0.398806249389
2,22,31000.0,0.35121671970063
2,22,32000.0,0.24633162664726
2,22,33000.0,0.37702799515511
2,22,34000.0,0.32583200375379
2,22,35000.0,0.25441700222962
2,22,36000.0,0.33732537933651
2,22,37000.0,0.39191209201466
2,22,38000.0,0.30737798382379
2,22,39000.0,0.40701924943045
2,22,40000.0,0.36538418548227
2,22,41000.0,0.41490031549356
2,22,42000.0,0.28671677159869
2,22,43000.0,0.38059225130823
2,22,44000.0,0.4005073451644
2,22,45000.0,0.364413028002
2,22,46000.0,0.35877718321508
2,22,47000.0,0.32029208073724
2,22,48000.0,0.40400860256751
2,22,49000.0,0.32042902708265
2,22,50000.0,0.38449661747172
2,23,1000.0,1.0
2,23,2000.0,0.0
2,23,3000.0,0.0
2,23,4000.0,0.29985834602851
2,23,5000.0,0.21122487799623
2,23,6000.0,0.26086661467233
2,23,7000.0,0.31029598176265
2,23,8000.0,0.33869270173561
2,23,9000.0,0.21135440701646
2,23,10000.0,0.34329658218218
2,23,11000.0,0.22997582202118
2,23,12000.0,0.21498924316006
2,23,13000.0,0.35828266960135
2,23,14000.0,0.21986924305999
2,23,15000.0,0.28516375309192
2,23,16000.0,0.24163210702892
2,23,17000.0,0.24266216012572
2,23,18000.0,0.16397075756638
2,23,19000.0,0.16019440704305
2,23,20000.0,0.21969185873588
2,23,21000.0,0.14974473932428
2,23,22000.0,0.18818105478092
2,23,23000.0,0.23003591421504
2,23,24000.0,0.17463972981245
2,23,25000.0,0.0
2,23,26000.0,0.30063133702516
2,23,27000.0,0.2047850190648
2,23,28000.0,0.18497542198316
2,23,29000.0,0.13440115373142
2,23,30000.0,0.19378960092914
2,23,31000.0,0.17049391483742
2,23,32000.0,0.11850779157375
2,23,33000.0,0.18025797178061
2,23,34000.0,0.035100650539126
2,23,35000.0,0.079164648675845
2,23,36000.0,0.11888500709185
2,23,37000.0,0.078197887459024
2,23,38000.0,0.0079861591141843
2,23,39000.0,0.20641243076583
2,23,40000.0,0.11789281681259
2,23,41000.0,0.15507146834521
2,23,42000.0,0.032966388304709
2,23,43000.0,0.1399604277791
2,23,44000.0,0.17178910546389
2,23,45000.0,0.0
2,23,46000.0,0.0
2,23,47000.0,0.095271527387142
2,23,48000.0,0.13251890859445
2,23,49000.0,0.037701212012379
2,23,50000.0,0.19035528496866
2,24,1000.0,1.0
2,24,2000.0,0.0
2,24,3000.0,0.0
2,24,4000.0,0.20422448442539
2,24,5000.0,0.13617841344028
2,24,6000.0,0.20503332229227
2,24,7000.0,0.13270059604714
2,24,8000.0,0.12016337666425
2,24,9000.0,0.25412272855202
2,24,10000.0,0.21897798244795
2,24,11000.0,0.17412347921494
2,24,12000.0,0.28902779714185
2,24,13000.0,0.22602690533819
2,24,14000.0,0.21833772968053
2,24,15000.0,0.15423750792629
2,24,16000.0,0.21873446269013
2,24,17000.0,0.23406339153675
2,24,18000.0,0.20652125621666
2,24,19000.0,0.13647021521609
2,24,20000.0,0.18925372694386
2,24,21000.0,0.15987650689087
2,24,22000.0,0.21733957024749
2,24,23000.0,0.0
2,24,24000.0,0.14982290165592
2,24,25000.0,0.0
2,24,26000.0,0.23084110289034
2,24,27000.0,0.18793010807034
2,24,28000.0,0.044300332273451
2,24,29000.0,0.10562401259148
2,24,30000.0,0.24253517334394
2,24,31000.0,0.17489945128876
2,24,32000.0,0.13836168501624
2,24,33000.0,0.17863228257414
2,24,34000.0,0.18218975778432
2,24,35000.0,0.020565133017304
2,24,36000.0,0.20149290166499
2,24,37000.0,0.17976976633966
2,24,38000.0,0.10255479547348
2,24,39000.0,0.20509149443265
2,24,40000.0,0.17172455659011
2,24,41000.0,0.15825374829198
2,24,42000.0,0.11266013952013
2,24,43000.0,0.16579669267734
2,24,44000.0,0.081929886243534
2,24,45000.0,0.10444998482927
2,24,46000.0,0.095226840334469
2,24,47000.0,0.0
2,24,48000.0,0.12879995411578
2,24,49000.0,0.0071695948381202
2,24,50000.0,0.087621331717968
2,25,1000.0,1.0
2,25,2000.0,0.0
2,25,3000.0,0.0
2,25,4000.0,0.31611176314399
2,25,5000.0,0.065773300540168
2,25,6000.0,0.24178991571525
2,25,7000.0,0.21210638412761
2,25,8000.0,0.2411386287128
2,25,9000.0,0.1438829594778
