rep,host,t,TotalClusterMsgSent
0,15,11000.0,157.0
0,15,12000.0,179.0
0,15,13000.0,190.0
0,15,14000.0,202.0
0,15,15000.0,226.0
0,15,16000.0,238.0
0,15,17000.0,250.0
0,15,18000.0,274.0
0,15,19000.0,286.0
0,15,20000.0,297.0
0,15,21000.0,319.0
0,15,22000.0,329.0
0,15,23000.0,339.0
0,15,24000.0,349.0
0,15,25000.0,359.0
0,15,26000.0,369.0
0,15,27000.0,389.0
0,15,28000.0,399.0
0,15,29000.0,410.0
0,15,30000.0,435.0
0,15,31000.0,448.0
0,15,32000.0,462.0
0,15,33000.0,489.0
0,15,34000.0,502.0
0,15,35000.0,516.0
0,15,36000.0,544.0
0,15,37000.0,559.0
0,15,38000.0,574.0
0,15,39000.0,604.0
0,15,40000.0,634.0
0,15,41000.0,664.0
0,15,42000.0,694.0
0,15,43000.0,709.0
0,15,44000.0,724.0
0,15,45000.0,754.0
0,15,46000.0,768.0
0,15,47000.0,782.0
0,15,48000.0,808.0
0,15,49000.0,834.0
0,15,50000.0,848.0
0,16,1000.0,9.0
0,16,2000.0,27.0
0,16,3000.0,36.0
0,16,4000.0,45.0
0,16,5000.0,54.0
0,16,6000.0,63.0
0,16,7000.0,72.0
0,16,8000.0,81.0
0,16,9000.0,90.0
0,16,10000.0,99.0
0,16,11000.0,108.0
0,16,12000.0,117.0
0,16,13000.0,127.0
0,16,14000.0,147.0
0,16,15000.0,157.0
0,16,16000.0,166.0
0,16,17000.0,175.0
0,16,18000.0,184.0
0,16,19000.0,193.0
0,16,20000.0,203.0
0,16,21000.0,212.0
0,16,22000.0,221.0
0,16,23000.0,237.0
0,16,24000.0,245.0
0,16,25000.0,253.0
0,16,26000.0,269.0
0,16,27000.0,277.0
0,16,28000.0,285.0
0,16,29000.0,301.0
0,16,30000.0,309.0
0,16,31000.0,316.0
0,16,32000.0,337.0
0,16,33000.0,344.0
0,16,34000.0,351.0
0,16,35000.0,372.0
0,16,36000.0,379.0
0,16,37000.0,385.0
0,16,38000.0,403.0
0,16,39000.0,409.0
0,16,40000.0,414.0
0,16,41000.0,432.0
0,16,42000.0,439.0
0,16,43000.0,446.0
0,16,44000.0,474.0
0,16,45000.0,482.0
0,16,46000.0,490.0
0,16,47000.0,522.0
0,16,48000.0,530.0
0,16,49000.0,538.0
0,16,50000.0,556.0
0,17,1000.0,20.0
0,17,2000.0,56.0
0,17,3000.0,67.0
0,17,4000.0,89.0
0,17,5000.0,100.0
0,17,6000.0,111.0
0,17,7000.0,137.0
0,17,8000.0,151.0
0,17,9000.0,166.0
0,17,10000.0,199.0
0,17,11000.0,216.0
0,17,12000.0,234.0
0,17,13000.0,270.0
0,17,14000.0,306.0
0,17,15000.0,324.0
0,17,16000.0,360.0
0,17,17000.0,397.0
0,17,18000.0,435.0
0,17,19000.0,475.0
0,17,20000.0,515.0
0,17,21000.0,575.0
0,17,22000.0,616.0
0,17,23000.0,676.0
0,17,24000.0,716.0
0,17,25000.0,757.0
0,17,26000.0,799.0
0,17,27000.0,842.0
0,17,28000.0,886.0
0,17,29000.0,929.0
0,17,30000.0,971.0
0,17,31000.0,1010.0
0,17,32000.0,1053.0
0,17,33000.0,1098.0
0,17,34000.0,1164.0
0,17,35000.0,1206.0
0,17,36000.0,1227.0
0,17,37000.0,1266.0
0,17,38000.0,1285.0
0,17,39000.0,1305.0
0,17,40000.0,1344.0
0,17,41000.0,1384.0
0,17,42000.0,1404.0
0,17,43000.0,1462.0
0,17,44000.0,1538.0
0,17,45000.0,1575.0
0,17,46000.0,1613.0
0,17,47000.0,1631.0
0,17,48000.0,1649.0
0,17,49000.0,1685.0
0,17,50000.0,1739.0
0,18,1000.0,13.0
0,18,2000.0,20.0
0,18,3000.0,56.0
0,18,4000.0,72.0
0,18,5000.0,80.0
0,18,6000.0,88.0
0,18,7000.0,105.0
0,18,8000.0,114.0
0,18,9000.0,123.0
0,18,10000.0,141.0
0,18,11000.0,150.0
0,18,12000.0,159.0
0,18,13000.0,179.0
0,18,14000.0,190.0
0,18,15000.0,203.0
0,18,16000.0,230.0
0,18,17000.0,244.0
0,18,18000.0,258.0
0,18,19000.0,300.0
0,18,20000.0,316.0
0,18,21000.0,332.0
0,18,22000.0,383.0
0,18,23000.0,419.0
0,18,24000.0,458.0
0,18,25000.0,498.0
0,18,26000.0,538.0
0,18,27000.0,580.0
0,18,28000.0,622.0
0,18,29000.0,665.0
0,18,30000.0,711.0
0,18,31000.0,756.0
0,18,32000.0,800.0
0,18,33000.0,844.0
0,18,34000.0,888.0
0,18,35000.0,932.0
0,18,36000.0,974.0
0,18,37000.0,1017.0
0,18,38000.0,1059.0
0,18,39000.0,1101.0
0,18,40000.0,1143.0
0,18,41000.0,1188.0
0,18,42000.0,1211.0
0,18,43000.0,1255.0
0,18,44000.0,1277.0
0,18,45000.0,1299.0
0,18,46000.0,1363.0
0,18,47000.0,1431.0
0,18,48000.0,1477.0
0,18,49000.0,1521.0
0,18,50000.0,1543.0
0,19,1000.0,5.0
0,19,2000.0,15.0
0,19,3000.0,20.0
0,19,4000.0,26.0
0,19,5000.0,39.0
0,19,6000.0,46.0
0,19,7000.0,53.0
0,19,8000.0,67.0
0,19,9000.0,74.0
0,19,10000.0,81.0
0,19,11000.0,99.0
0,19,12000.0,108.0
0,19,13000.0,117.0
0,19,14000.0,135.0
0,19,15000.0,145.0
0,19,16000.0,155.0
0,19,17000.0,175.0
0,19,18000.0,185.0
0,19,19000.0,197.0
0,19,20000.0,221.0
0,19,21000.0,233.0
0,19,22000.0,245.0
0,19,23000.0,269.0
0,19,24000.0,281.0
0,19,25000.0,293.0
0,19,26000.0,316.0
0,19,27000.0,336.0
0,19,28000.0,346.0
0,19,29000.0,366.0
0,19,30000.0,376.0
0,19,31000.0,385.0
0,19,32000.0,403.0
0,19,33000.0,413.0
0,19,34000.0,424.0
0,19,35000.0,446.0
0,19,36000.0,457.0
0,19,37000.0,469.0
0,19,38000.0,493.0
0,19,39000.0,517.0
0,19,40000.0,530.0
0,19,41000.0,554.0
0,19,42000.0,566.0
0,19,43000.0,579.0
0,19,44000.0,607.0
0,19,45000.0,649.0
0,19,46000.0,664.0
0,19,47000.0,709.0
0,19,48000.0,724.0
0,19,49000.0,739.0
0,19,50000.0,772.0
0,20,1000.0,7.0
0,20,2000.0,23.0
0,20,3000.0,31.0
0,20,4000.0,39.0
0,20,5000.0,55.0
0,20,6000.0,63.0
0,20,7000.0,71.0
0,20,8000.0,87.0
0,20,9000.0,95.0
0,20,10000.0,103.0
0,20,11000.0,119.0
0,20,12000.0,127.0
0,20,13000.0,136.0
0,20,14000.0,154.0
0,20,15000.0,163.0
